profile,model,spec,nmax,prompt_id,tg_tps,accept,meanlen,gen_tokens
q4b,Qwen3.5-4B-Q4_K_M,none,off,0,29.95,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,1,30.28,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,2,30.29,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,3,30.25,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,4,30.23,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,5,30.21,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,6,30.23,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,7,30.23,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,8,30.23,,,256
q4b,Qwen3.5-4B-Q4_K_M,none,off,9,30.22,,,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,0,36.69,0.93182,1.93,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,1,35.74,0.88148,1.88,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,2,35.28,0.83453,1.83,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,3,37.69,0.96899,1.97,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,4,35.45,0.84783,1.85,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,5,36.93,0.92424,1.92,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,6,33.99,0.77083,1.77,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,7,36.01,0.88148,1.88,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,8,36.06,0.88148,1.88,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,1,9,36.78,0.91729,1.92,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,0,42.33,0.82812,2.66,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,1,42.15,0.77889,2.55,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,2,38.67,0.67593,2.35,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,3,46.73,0.91667,2.83,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,4,40.22,0.71770,2.43,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,5,45.37,0.87568,2.74,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,6,39.05,0.68372,2.36,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,7,41.56,0.76119,2.51,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,8,42.96,0.80102,2.60,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,2,9,43.49,0.81443,2.63,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,0,40.51,0.70902,3.11,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,1,40.30,0.69636,3.07,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,2,36.49,0.59058,2.77,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,3,44.60,0.81081,3.43,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,4,37.39,0.61567,2.83,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,5,43.81,0.78070,3.34,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,6,35.10,0.55594,2.66,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,7,40.20,0.68675,3.06,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,8,39.67,0.69355,3.07,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,3,9,40.98,0.70902,3.11,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,0,34.87,0.60811,3.43,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,1,38.97,0.67273,3.68,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,2,31.58,0.50746,3.00,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,3,45.39,0.82627,4.31,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,4,32.43,0.51506,3.04,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,5,39.71,0.68889,3.74,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,6,31.27,0.48696,2.93,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,7,35.47,0.58553,3.34,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,8,36.41,0.60811,3.43,256
q4b,Qwen3.5-4B-Q4_K_M,draft-mtp,4,9,38.96,0.67029,3.68,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,0,24.48,,,256
